"","S8045","S8090","S8091","S8092","S8093","S8094","S8095","S8096","S8097","S8098","S8099","S8100","S8101","S8102","S8103","S8104","S8105","S8108","S8109","S8110","S8114","S8115","S8116","S8119","S8120","S8121","S8122","S8123","S8124","S8126","S8128","S8129","S8130","S8131","S8132","S8134","S8135","S8136","S8138"
"S8114",0.981567108253,0.953435324290422,0.951312483794237,0.962806071063751,0.957340710331305,0.967127044291362,0.962162667120858,0.963015715996327,0.96883568492985,0.973744951075858,0.962786725827552,0.976530073333629,0.973894362498154,0.976433710632804,0.982102565201286,0.957606628095377,0.96637566616662,0.958823988143283,0.984322348744335,0.991341077081377,1,0.99943755344975,0.996274897140459,0.998537599148415,0.99799372023143,0.997775582504237,0.997351286081829,0.997319615870398,0.987869778133833,0.995526272279047,0.984820514021362,0.984729434509363,0.985865978714375,0.988554905290661,0.988673556025288,0.960788147772093,0.989495336937963,0.9950160422515,0.968602298787349
"S8115",0.984787143925967,0.956240993791419,0.954090146667049,0.965768078275982,0.9603816866895,0.969638419927959,0.965269049021056,0.966183429071317,0.971430478996992,0.976209636885645,0.966078892246285,0.979142805650255,0.976556133635719,0.978909996949407,0.984239724664269,0.961181871731744,0.969328479797501,0.96215097338266,0.986046265493642,0.991905469060961,0.99943755344975,1,0.997125233265361,0.999598990395167,0.99922177700944,0.999173482352277,0.998467936253959,0.998898334977457,0.990597297980632,0.997588373168162,0.987718436439922,0.98784020306808,0.988750521282376,0.991614032718389,0.99148908804628,0.963921518550366,0.99228764702546,0.997100399247637,0.971371056404049
"S8116",0.993771590060225,0.974882051218688,0.973146374869745,0.981828676731316,0.977819538215827,0.984586304431757,0.981400110395338,0.981867396967408,0.985984225497171,0.989099537888263,0.981791493078773,0.990744968790404,0.989221407495416,0.990789795567882,0.994195258245665,0.97821330272008,0.984312882542795,0.979147799716304,0.995340083513347,0.998105091238144,0.996274897140459,0.997125233265361,1,0.996361726013067,0.996051245409537,0.99683354040819,0.999451655792322,0.996223070591373,0.997008682709663,0.996379910833188,0.995311174150049,0.994998958049565,0.995250873638536,0.996558892515363,0.996913795304768,0.980376729352499,0.996667735036734,0.998683936482303,0.985851761433114
"S8119",0.984315828197508,0.953940472039401,0.951745185588792,0.96382935581166,0.958561935389809,0.967490191465605,0.96343560770921,0.96422444250989,0.969577715291287,0.974298245280435,0.964170726463558,0.977294965656425,0.974881927292578,0.977112313366992,0.982806470451879,0.959200370033803,0.967388422187764,0.960260851641736,0.984286275947605,0.989905712864056,0.998537599148415,0.999598990395167,0.996361726013067,1,0.999570700897321,0.999601387305513,0.998194307302684,0.999625444515049,0.990330757659358,0.998759358709095,0.987266945301411,0.987579607714492,0.988539537809601,0.991951927057503,0.991632905646039,0.961820465567479,0.992439224020999,0.997434730096844,0.96954187959184
"S8120",0.985300906925638,0.954689253471182,0.952552668804926,0.96458160839167,0.959574851433248,0.968169503211481,0.963963072840375,0.965080687031936,0.970206847965114,0.974618563147187,0.964855031005823,0.97788020315958,0.975585351643284,0.977559519205227,0.983389987662394,0.960448484857229,0.968286645438104,0.96125685661953,0.984228025263459,0.989464411217801,0.99799372023143,0.99922177700944,0.996051245409537,0.999570700897321,1,0.999787801745156,0.998112075572986,0.999597570565629,0.990766765866799,0.998900764784745,0.988106994312445,0.988601458185949,0.989566075325185,0.992645975223654,0.992240260117988,0.962941508146381,0.993287994499787,0.997603244557195,0.970459903243099
"S8121",0.986965204081968,0.957508934555613,0.955374959481603,0.967024448384223,0.962223546723476,0.97048973854708,0.966593337551307,0.967375476476365,0.97248704967728,0.976737571286569,0.967272312470001,0.979974173387694,0.977690109042336,0.979552015904294,0.985129933226847,0.962909858000346,0.970466141126186,0.963758338605001,0.985919534324476,0.990685960939825,0.997775582504237,0.999173482352277,0.99683354040819,0.999601387305513,0.999787801745156,1,0.998667482291479,0.999536862784998,0.992196301010868,0.99930884248191,0.98975409416324,0.990016607839268,0.990988684642769,0.993863475271077,0.993508156969964,0.965244887398659,0.99435904677245,0.998355389232862,0.972667595042614
"S8122",0.992407031349579,0.969318577159147,0.967485779557824,0.977214525968666,0.973004364799619,0.980208971581874,0.976751536165749,0.97739463357183,0.981990507754318,0.985442060738734,0.977331259391985,0.987696453208441,0.986074633845908,0.987646829040155,0.991892798155911,0.973469806177186,0.980213549602522,0.974404945809476,0.992522690774976,0.995798261243947,0.997351286081829,0.998467936253959,0.999451655792322,0.998194307302684,0.998112075572986,0.998667482291479,1,0.99818006458397,0.996311842458374,0.998228135661476,0.994497353688026,0.994331121157824,0.994612235930604,0.996550657319301,0.996573107917307,0.975786701019245,0.996803226732471,0.999339817812023,0.982027601073272
"S8123",0.985862451699518,0.956091809122716,0.954062623791725,0.965848784749845,0.960899528266766,0.969056094971611,0.965403285722051,0.966350437313245,0.971161577005505,0.975604426217405,0.966045567282688,0.97856564445139,0.976335033008653,0.978382692471331,0.983731296255313,0.961393753081117,0.969238517304585,0.96259831264467,0.984957626654408,0.98964186803958,0.997319615870398,0.998898334977457,0.996223070591373,0.999625444515049,0.999597570565629,0.999536862784998,0.99818006458397,1,0.991611398907835,0.999182336682995,0.988465581560965,0.988896827023071,0.98956411696908,0.993061290061835,0.992598542600577,0.963870825807678,0.993313897591661,0.99786647040774,0.971278187091448
"S8124",0.9989413334908,0.984110826014141,0.982701061513532,0.989956507040227,0.987051570580463,0.991353573318416,0.989778223970558,0.990115304257936,0.992861832309356,0.9946965130676,0.990036094139676,0.996269852342783,0.995644297072987,0.996209308202148,0.998098258808208,0.98780749700683,0.991989104846602,0.988530959846972,0.997569502102243,0.99627003800078,0.987869778133833,0.990597297980632,0.997008682709663,0.990330757659358,0.990766765866799,0.992196301010868,0.996311842458374,0.991611398907835,1,0.993384654327976,0.999424444142303,0.999178370910251,0.998578866143009,0.998937820921586,0.999072316851169,0.989169442794197,0.998514495556274,0.99728906824667,0.993236336347007
"S8126",0.988766723225395,0.959438216049811,0.957300186616078,0.968911392396977,0.964412202148905,0.971773574735798,0.968656349478332,0.969191957555252,0.974125425662979,0.977837574039382,0.969218446773742,0.980723252091828,0.979166862842637,0.980609360563036,0.986095794322856,0.96525258041868,0.972226206387571,0.966048318872672,0.986227093470853,0.989677309859267,0.995526272279047,0.997588373168162,0.996379910833188,0.998759358709095,0.998900764784745,0.99930884248191,0.998228135661476,0.999182336682995,0.993384654327976,1,0.99100774031043,0.991744891564911,0.99272760098176,0.995601407603093,0.995203689179722,0.967309842848307,0.995890478492364,0.998961212247967,0.974438251776202
"S8128",0.999621709634222,0.98617000812831,0.984771468070843,0.991384875736671,0.988943338642146,0.992752352580581,0.9910539181416,0.991496215307774,0.994287781207717,0.995515108254712,0.991703644487773,0.997042196200442,0.996791826191353,0.996940797169821,0.998788560206452,0.990129972734311,0.99364112100602,0.990312625753141,0.997139835909411,0.995135121739759,0.984820514021362,0.987718436439922,0.995311174150049,0.987266945301411,0.988106994312445,0.98975409416324,0.994497353688026,0.988465581560965,0.999424444142303,0.99100774031043,1,0.999554619596391,0.99869284165711,0.998500776870266,0.998656314897651,0.991247876526481,0.998141183726904,0.995638793397502,0.994805678458912
"S8129",0.999571195934624,0.983928125679531,0.982289338347065,0.989836659107583,0.98690359680691,0.991034710878418,0.989462049381465,0.990012222778638,0.992892000620834,0.99411160806001,0.990246343119219,0.995813205467216,0.995797665047404,0.995848542381297,0.998062297105506,0.989358747828264,0.992619283160921,0.989061989167497,0.996218170485036,0.994056478102928,0.984729434509363,0.98784020306808,0.994998958049565,0.987579607714492,0.988601458185949,0.990016607839268,0.994331121157824,0.988896827023071,0.999178370910251,0.991744891564911,0.999554619596391,1,0.999603482864052,0.999272729065181,0.999365659237205,0.990332421538069,0.999065458369389,0.99605477936237,0.9939235974
"S8130",0.998678464495535,0.981244840833149,0.979376916544576,0.98769666030238,0.984404197001153,0.989053756525609,0.987436745523146,0.987741892969671,0.990974431897913,0.992365366567469,0.987980081299642,0.994391348963951,0.994259250340546,0.994335183943548,0.997068185824193,0.987249571463657,0.990568700435728,0.986790006900323,0.995461281316748,0.993805858130263,0.985865978714375,0.988750521282376,0.995250873638536,0.988539537809601,0.989566075325185,0.990988684642769,0.994612235930604,0.98956411696908,0.998578866143009,0.99272760098176,0.99869284165711,0.999603482864052,1,0.99940405696885,0.999575815535034,0.988180338200365,0.999461611510405,0.996591416684444,0.992195264785588
"S8131",0.998079857626483,0.978165480815871,0.976280144839451,0.985193562554299,0.981692276200306,0.986715138711931,0.98489352228909,0.985382100839467,0.98880993749091,0.990689585259745,0.985635673783634,0.992735534027762,0.992326158779807,0.992733880527373,0.995893685844121,0.984162953117024,0.988223708869246,0.98397520467118,0.994589687512462,0.993805593975653,0.988554905290661,0.991614032718389,0.996558892515363,0.991951927057503,0.992645975223654,0.993863475271077,0.996550657319301,0.993061290061835,0.998937820921586,0.995601407603093,0.998500776870266,0.999272729065181,0.99940405696885,1,0.999921761423038,0.985270043881527,0.999842142220474,0.998346071022904,0.989785562958933
"S8132",0.998320429529209,0.979631748375694,0.977782314022098,0.98640041670695,0.982982691478624,0.987939076999754,0.986138560531662,0.986513373154128,0.989904050695546,0.991696612419875,0.986770110530602,0.993528786203041,0.993189952519898,0.993593705682122,0.996595364520782,0.985221873126844,0.989210621751432,0.985111609911055,0.995459683523922,0.994675741810065,0.988673556025288,0.99148908804628,0.996913795304768,0.991632905646039,0.992240260117988,0.993508156969964,0.996573107917307,0.992598542600577,0.999072316851169,0.995203689179722,0.998656314897651,0.999365659237205,0.999575815535034,0.999921761423038,1,0.986359840434601,0.999820327540864,0.998260390053873,0.990744729620142
"S8134",0.993659209478553,0.998342562823842,0.997696530651558,0.999260885783831,0.998476504064736,0.998870871205366,0.998794120096014,0.99922879977351,0.99910776080371,0.9980674844524,0.999283512838735,0.997135925470966,0.998111300926819,0.997508733125366,0.995294950669954,0.999833427950045,0.999743006947069,0.999692445016998,0.993796734790413,0.987229027937541,0.960788147772093,0.963921518550366,0.980376729352499,0.961820465567479,0.962941508146381,0.965244887398659,0.975786701019245,0.963870825807678,0.989169442794197,0.967309842848307,0.991247876526481,0.990332421538069,0.988180338200365,0.985270043881527,0.986359840434601,1,0.984125639026487,0.97735336878052,0.999426267587875
"S8135",0.99755756599368,0.976648745167189,0.974696458568845,0.983981279850104,0.980340654794419,0.985743052422289,0.983669932571966,0.984178966669028,0.987864872588597,0.989834947408306,0.984464285245309,0.992038631385613,0.991661699221079,0.992052477957326,0.995552555323408,0.982899330990667,0.987162155067883,0.982624893461456,0.994124604681085,0.993717157801742,0.989495336937963,0.99228764702546,0.996667735036734,0.992439224020999,0.993287994499787,0.99435904677245,0.996803226732471,0.993313897591661,0.998514495556274,0.995890478492364,0.998141183726904,0.999065458369389,0.999461611510405,0.999842142220474,0.999820327540864,0.984125639026487,1,0.99850050426934,0.98887273235647
"S8136",0.994076444696316,0.970438674544858,0.968495674525096,0.978561409110007,0.97446595069886,0.981040747354025,0.978312717229872,0.978800163364871,0.982971310490756,0.986074540759065,0.978880754683472,0.988400885158419,0.987108243622252,0.988321405604292,0.99247091694708,0.975547852520412,0.981459929201237,0.976145365373136,0.992562067769777,0.994579154040789,0.9950160422515,0.997100399247637,0.998683936482303,0.997434730096844,0.997603244557195,0.998355389232862,0.999339817812023,0.99786647040774,0.99728906824667,0.998961212247967,0.995638793397502,0.99605477936237,0.996591416684444,0.998346071022904,0.998260390053873,0.97735336878052,0.99850050426934,1,0.983264980765251
"S8138",0.99647175692144,0.997198173290968,0.996398744954792,0.999062517200997,0.997879390584332,0.999148951950285,0.998681955083956,0.998951206684925,0.999677326470841,0.999212616323303,0.99895775077965,0.998856548180731,0.999527835269837,0.999136229806139,0.99787714022844,0.998894886582228,0.999844769140741,0.999036194604705,0.996559517170889,0.9912199590122,0.968602298787349,0.971371056404049,0.985851761433114,0.96954187959184,0.970459903243099,0.972667595042614,0.982027601073272,0.971278187091448,0.993236336347007,0.974438251776202,0.994805678458912,0.9939235974,0.992195264785588,0.989785562958933,0.990744729620142,0.999426267587875,0.98887273235647,0.983264980765251,1
