"","S6914","S6916","S6939","S7049","S7064","S7080","S7081","S7084","S7085","S7087","S7090","S7091","S7092","S7095","S7109","S7111","S7112","S7113","S7116","S7124","S7125","S7129","S7132","S7140","S7144","S7148","S7151","S7153","S7154","S7155","S7158","S7159","S7164","S7168","S7169","S7170","S7171","S7173","S7174","S7178","S7185"
"S7125",0.999589718030224,0.99967585586618,0.99967585586618,0.999777578212613,0.999777578212613,0.999862070285405,0.999862070285405,0.999910577905207,0.999946705373554,0.999928277576304,0.999928277576304,0.999928277576304,0.999946705373554,0.999959424990313,0.999928900281419,0.999977931284624,0.999959658250294,0.999959658250294,0.999959658250294,0.999953415726824,1,0.999954592591407,0.999953415726824,1,0.999927131843932,1,0.999953415726824,0.999953415726824,0.999954592591407,0.999965431871012,0.999927222368632,0.999901833865547,0.999913006244241,0.999913006244241,0.99992050256904,0.999906641903755,0.999922319858864,0.999946628913647,0.999875831148552,0.999865781562158,0.999883556768969
"S7129",0.999646241504874,0.999736251405607,0.999736251405607,0.999818897404984,0.999818897404984,0.99987760071248,0.99987760071248,0.999934362160447,0.999970502343423,0.999926716330623,0.999926716330623,0.999926716330623,0.999970502343423,0.999955524501704,0.999902255703915,0.999968769732422,0.999950208621583,0.999950208621583,0.999950208621583,0.999935409466873,0.999954592591407,1,0.999935409466873,0.999954592591407,0.999872953994736,0.999954592591407,0.999935409466873,0.999935409466873,1,0.99993793783882,0.999939454361423,0.999900671914749,0.999894093622798,0.999894093622798,0.999910450480252,0.999914068761136,0.999947878504881,0.999973677427506,0.999872028490265,0.999869496073788,0.999873726763776
"S7132",0.999440317710445,0.999513698489937,0.999513698489937,0.999673790256654,0.999673790256654,0.999749208691951,0.999749208691951,0.9998379467977,0.999891095738205,0.999899657805731,0.999899657805731,0.999899657805731,0.999891095738205,0.999907765848579,0.999880253957233,0.999912185114667,0.99994552962578,0.99994552962578,0.99994552962578,1,0.999953415726824,0.999935409466873,1,0.999953415726824,0.999945168615123,0.999953415726824,1,1,0.999935409466873,0.999980443424868,0.999969806223186,0.999970808460204,0.999958631516798,0.999958631516798,0.999958037323031,0.999949928993571,0.999955412540123,0.999968269206083,0.999922542712851,0.999901048225039,0.999944510649299
"S7140",0.999589718030224,0.99967585586618,0.99967585586618,0.999777578212613,0.999777578212613,0.999862070285405,0.999862070285405,0.999910577905207,0.999946705373554,0.999928277576304,0.999928277576304,0.999928277576304,0.999946705373554,0.999959424990313,0.999928900281419,0.999977931284624,0.999959658250294,0.999959658250294,0.999959658250294,0.999953415726824,1,0.999954592591407,0.999953415726824,1,0.999927131843932,1,0.999953415726824,0.999953415726824,0.999954592591407,0.999965431871012,0.999927222368632,0.999901833865547,0.999913006244241,0.999913006244241,0.99992050256904,0.999906641903755,0.999922319858864,0.999946628913647,0.999875831148552,0.999865781562158,0.999883556768969
"S7144",0.999396314703813,0.999464989466434,0.999464989466434,0.999612614370534,0.999612614370534,0.999731516427291,0.999731516427291,0.999764148950346,0.999861605156383,0.999864435061344,0.999864435061344,0.999864435061344,0.999861605156383,0.999886293344503,0.999898907246904,0.999891281187157,0.999922513129494,0.999922513129494,0.999922513129494,0.999945168615123,0.999927131843932,0.999872953994736,0.999945168615123,0.999927131843932,1,0.999927131843932,0.999945168615123,0.999945168615123,0.999872953994736,0.99995453250482,0.999904926428331,0.999949123045246,0.999964019017507,0.999964019017507,0.999923648648442,0.999874870783337,0.999869722244429,0.999913465951157,0.99993288627725,0.999855810416937,0.999951505757499
"S7148",0.999589718030224,0.99967585586618,0.99967585586618,0.999777578212613,0.999777578212613,0.999862070285405,0.999862070285405,0.999910577905207,0.999946705373554,0.999928277576304,0.999928277576304,0.999928277576304,0.999946705373554,0.999959424990313,0.999928900281419,0.999977931284624,0.999959658250294,0.999959658250294,0.999959658250294,0.999953415726824,1,0.999954592591407,0.999953415726824,1,0.999927131843932,1,0.999953415726824,0.999953415726824,0.999954592591407,0.999965431871012,0.999927222368632,0.999901833865547,0.999913006244241,0.999913006244241,0.99992050256904,0.999906641903755,0.999922319858864,0.999946628913647,0.999875831148552,0.999865781562158,0.999883556768969
"S7151",0.999440317710445,0.999513698489937,0.999513698489937,0.999673790256654,0.999673790256654,0.999749208691951,0.999749208691951,0.9998379467977,0.999891095738205,0.999899657805731,0.999899657805731,0.999899657805731,0.999891095738205,0.999907765848579,0.999880253957233,0.999912185114667,0.99994552962578,0.99994552962578,0.99994552962578,1,0.999953415726824,0.999935409466873,1,0.999953415726824,0.999945168615123,0.999953415726824,1,1,0.999935409466873,0.999980443424868,0.999969806223186,0.999970808460204,0.999958631516798,0.999958631516798,0.999958037323031,0.999949928993571,0.999955412540123,0.999968269206083,0.999922542712851,0.999901048225039,0.999944510649299
"S7153",0.999440317710445,0.999513698489937,0.999513698489937,0.999673790256654,0.999673790256654,0.999749208691951,0.999749208691951,0.9998379467977,0.999891095738205,0.999899657805731,0.999899657805731,0.999899657805731,0.999891095738205,0.999907765848579,0.999880253957233,0.999912185114667,0.99994552962578,0.99994552962578,0.99994552962578,1,0.999953415726824,0.999935409466873,1,0.999953415726824,0.999945168615123,0.999953415726824,1,1,0.999935409466873,0.999980443424868,0.999969806223186,0.999970808460204,0.999958631516798,0.999958631516798,0.999958037323031,0.999949928993571,0.999955412540123,0.999968269206083,0.999922542712851,0.999901048225039,0.999944510649299
"S7154",0.999646241504874,0.999736251405607,0.999736251405607,0.999818897404984,0.999818897404984,0.99987760071248,0.99987760071248,0.999934362160447,0.999970502343423,0.999926716330623,0.999926716330623,0.999926716330623,0.999970502343423,0.999955524501704,0.999902255703915,0.999968769732422,0.999950208621583,0.999950208621583,0.999950208621583,0.999935409466873,0.999954592591407,1,0.999935409466873,0.999954592591407,0.999872953994736,0.999954592591407,0.999935409466873,0.999935409466873,1,0.99993793783882,0.999939454361423,0.999900671914749,0.999894093622798,0.999894093622798,0.999910450480252,0.999914068761136,0.999947878504881,0.999973677427506,0.999872028490265,0.999869496073788,0.999873726763776
"S7155",0.999391419800373,0.999509842242992,0.999509842242992,0.999636811623432,0.999636811623432,0.999739232272676,0.999739232272676,0.99981965356833,0.999887809488167,0.999880834064048,0.999880834064048,0.999880834064048,0.999887809488167,0.999911271740694,0.99988538456053,0.999918255900331,0.999939919060314,0.999939919060314,0.999939919060314,0.999980443424868,0.999965431871012,0.99993793783882,0.999980443424868,0.999965431871012,0.99995453250482,0.999965431871012,0.999980443424868,0.999980443424868,0.99993793783882,1,0.999975896613828,0.999966247053545,0.999953935737107,0.999953935737107,0.999971878943109,0.999960089539979,0.999952013811255,0.999975937577716,0.999935965350746,0.999931746016816,0.999939895943327
"S7158",0.999378166391026,0.999485572430364,0.999485572430364,0.999629257144411,0.999629257144411,0.999725468008148,0.999725468008148,0.999800240786602,0.999869637475976,0.999888617504418,0.999888617504418,0.999888617504418,0.999869637475976,0.999906290258275,0.999837705728603,0.999897699170635,0.999899879317292,0.999899879317292,0.999899879317292,0.999969806223186,0.999927222368632,0.999939454361423,0.999969806223186,0.999927222368632,0.999904926428331,0.999927222368632,0.999969806223186,0.999969806223186,0.999939454361423,0.999975896613828,1,0.999966711461591,0.99993899112722,0.99993899112722,0.999975670884798,0.999973239224823,0.999977816657752,0.999974491435087,0.999931235674115,0.999956739432205,0.999933315816017
