"","Axis1","Axis2","site","year","HydroBasin","Country"
"S11151_2008",1.08160405620774,-1.69467719095481,"S11151",2008,"7080047060","USA"
"S11151_2012",1.0734289549502,-1.37295854805153,"S11151",2012,"7080047060","USA"
"S1117_2005",-0.880736832198648,0.825070512643291,"S1117",2005,"2080033090","SWE"
"S1117_2004",-1.81173073725901,-0.112413404238011,"S1117",2004,"2080033090","SWE"
"S1117_2006",-1.69970456338569,0.908999308525025,"S1117",2006,"2080033090","SWE"
"S1117_2007",-1.12394936131888,0.200862155791141,"S1117",2007,"2080033090","SWE"
"S1117_2010",-1.43534522940384,0.237396040141866,"S1117",2010,"2080033090","SWE"
"S1117_2011",-2.11824802602789,0.455282500009889,"S1117",2011,"2080033090","SWE"
"S1117_2012",-0.859449961013638,-0.843230305602572,"S1117",2012,"2080033090","SWE"
"S1117_2013",-1.19274275516018,-0.480536638010146,"S1117",2013,"2080033090","SWE"
"S1117_2009",-1.88026763609694,0.439804457453746,"S1117",2009,"2080033090","SWE"
"S1121_2011",-3.1029563256186,-0.390916908418451,"S1121",2011,"2080033020","SWE"
"S1121_2004",-5.0074481107572,-1.65512230173152,"S1121",2004,"2080033020","SWE"
"S1121_2005",-4.6258036088277,-0.410392481141928,"S1121",2005,"2080033020","SWE"
"S1121_2009",-1.5214390304209,-0.411562166070484,"S1121",2009,"2080033020","SWE"
"S1121_2012",-1.49847477619002,-0.455115693114226,"S1121",2012,"2080033020","SWE"
"S1121_2013",-0.592582679233963,-0.489796726060675,"S1121",2013,"2080033020","SWE"
"S1121_2006",-4.22076436177439,-0.567656381909327,"S1121",2006,"2080033020","SWE"
"S1121_2008",-4.40882648185353,-0.411301075556764,"S1121",2008,"2080033020","SWE"
"S11264_2010",2.43583077227588,-0.81010469319355,"S11264",2010,"7080047060","USA"
"S11264_2013",2.23066935946395,-0.762013777873294,"S11264",2013,"7080047060","USA"
"S11264_2004",0.895495459545135,-1.8139097892896,"S11264",2004,"7080047060","USA"
"S11264_2005",0.544715240668315,-1.92222893347735,"S11264",2005,"7080047060","USA"
"S11264_2007",1.41121390518524,-1.85851987414764,"S11264",2007,"7080047060","USA"
"S11264_2008",1.55848895660692,-1.97113007243245,"S11264",2008,"7080047060","USA"
"S11264_2009",1.15788222377206,-1.96475765622373,"S11264",2009,"7080047060","USA"
