"","Axis.1","Axis.2","site","year","HydroBasin","Country"
"S1129_2008",0.187592921242915,-0.0352162764632636,"S1129",2008,"2080033020","SWE"
"S1133_2008",-0.190123019539873,-0.0331524162283126,"S1133",2008,"2080021030","FRA"
"S1133_2012",-0.159484780752091,0.00194375315307245,"S1133",2012,"2080021030","FRA"
"S1133_2005",-0.162539630151453,-0.0398767511890073,"S1133",2005,"2080021030","FRA"
"S1133_2006",-0.156157282500072,-0.0145829214343753,"S1133",2006,"2080021030","FRA"
"S1133_2007",-0.177320809464282,-0.037405936149532,"S1133",2007,"2080021030","FRA"
"S1133_2009",-0.175853357749434,-0.0269469479069443,"S1133",2009,"2080021030","FRA"
"S1133_2011",-0.181821798528075,-0.0367253244653888,"S1133",2011,"2080021030","FRA"
"S1133_2010",-0.182473923621617,-0.0365264024611271,"S1133",2010,"2080021030","FRA"
"S1133_2013",-0.208992591343412,-0.053406949293518,"S1133",2013,"2080021030","FRA"
"S11383_2005",0.0773552005609049,0.116322750627509,"S11383",2005,"7080047060","USA"
"S11383_2006",-0.00114267874609432,0.110767006618719,"S11383",2006,"7080047060","USA"
"S11383_2008",-0.13152830541127,0.084359293832009,"S11383",2008,"7080047060","USA"
"S11383_2013",0.0272966788380078,0.103637482622884,"S11383",2013,"7080047060","USA"
"S11383_2011",0.113420164046275,0.00356687196579322,"S11383",2011,"7080047060","USA"
"S11383_2004",-0.0981779072963983,0.0712387822371809,"S11383",2004,"7080047060","USA"
"S11383_2007",0.106151358056666,0.0947154802316516,"S11383",2007,"7080047060","USA"
"S11383_2010",-0.111585190313034,0.079506961843504,"S11383",2010,"7080047060","USA"
"S11383_2009",-0.0318245431444598,0.0607215997020947,"S11383",2009,"7080047060","USA"
"S11383_2012",-0.154835990020382,0.0469141595267761,"S11383",2012,"7080047060","USA"
"S11384_2004",-0.0432935495305736,0.0595524290790186,"S11384",2004,"7080047060","USA"
"S11384_2005",-0.105358498791958,0.0140836894249732,"S11384",2005,"7080047060","USA"
"S11384_2006",-0.113064535666219,0.0227306046881525,"S11384",2006,"7080047060","USA"
"S11384_2007",-0.0158026042949303,0.0312656849650494,"S11384",2007,"7080047060","USA"
"S11384_2008",-0.09074172437905,0.0357250099098019,"S11384",2008,"7080047060","USA"
"S11384_2009",-0.0919513332834991,0.0367952193291035,"S11384",2009,"7080047060","USA"
"S11384_2010",0.0173815485391456,0.0619398201271065,"S11384",2010,"7080047060","USA"
"S11384_2011",-0.0198806446470502,0.017158853476741,"S11384",2011,"7080047060","USA"
"S11384_2012",-0.116356839145224,0.0210468524976485,"S11384",2012,"7080047060","USA"
"S11498_2004",-0.0883093085423927,0.0191753828906554,"S11498",2004,"7080047060","USA"
"S11498_2005",-0.0778029549983459,0.0165340508527531,"S11498",2005,"7080047060","USA"
"S11498_2006",-0.0233585399879353,0.054837924195996,"S11498",2006,"7080047060","USA"
"S11498_2007",-0.199346817499048,-0.0320655159228412,"S11498",2007,"7080047060","USA"
"S11498_2008",-0.164668161399364,0.00682701733820884,"S11498",2008,"7080047060","USA"
"S11498_2009",-0.119182787595727,0.0127880405429597,"S11498",2009,"7080047060","USA"
"S11498_2010",-0.106568129251164,0.00531354929302092,"S11498",2010,"7080047060","USA"
"S11498_2011",-0.12873386510389,0.00278472251084886,"S11498",2011,"7080047060","USA"
"S11498_2012",-0.189359764668083,-0.00785684409161197,"S11498",2012,"7080047060","USA"
"S1157_2008",-0.128918719810005,-0.0154637577287044,"S1157",2008,"2080021030","FRA"
"S1157_2004",-0.189133663254938,-0.0643811025725278,"S1157",2004,"2080021030","FRA"
"S1157_2005",-0.157405059310686,-0.0347802260149819,"S1157",2005,"2080021030","FRA"
"S1157_2006",-0.137770078417133,-0.0258169397817767,"S1157",2006,"2080021030","FRA"
"S1157_2007",-0.133209546332209,-0.0107869399626328,"S1157",2007,"2080021030","FRA"
"S1157_2009",-0.114265629387444,0.0010269357721418,"S1157",2009,"2080021030","FRA"
"S1157_2010",-0.147158813321792,-0.0261073973425463,"S1157",2010,"2080021030","FRA"
"S1157_2011",-0.120481825107797,-0.00157784845395063,"S1157",2011,"2080021030","FRA"
"S1157_2012",-0.11102422703294,-0.020289127747881,"S1157",2012,"2080021030","FRA"
"S1157_2013",-0.150881042037445,-0.0273045260462715,"S1157",2013,"2080021030","FRA"
"S1159_2008",-0.036061052436182,-0.0262078031558853,"S1159",2008,"2080021030","FRA"
"S1159_2004",-0.0714499110140523,0.00141684651372593,"S1159",2004,"2080021030","FRA"
"S1159_2005",-0.0740389309971204,0.00772353388183501,"S1159",2005,"2080021030","FRA"
"S1159_2006",-0.0253211832860966,-0.01682302515475,"S1159",2006,"2080021030","FRA"
"S1159_2007",-0.0277842995997578,-0.0188419934751317,"S1159",2007,"2080021030","FRA"
"S1159_2009",-0.0462084476071875,-0.0191637300012853,"S1159",2009,"2080021030","FRA"
"S1159_2010",-0.0373649539419381,-0.0109315769317593,"S1159",2010,"2080021030","FRA"
"S1159_2011",0.00488397032984849,-0.0366348605465858,"S1159",2011,"2080021030","FRA"
"S1159_2012",-0.00356784867828351,-0.0236936394916561,"S1159",2012,"2080021030","FRA"
"S1159_2013",-0.0232373233084766,-0.015718036272745,"S1159",2013,"2080021030","FRA"
"S11618_2005",-0.14483076479206,0.0407707977029843,"S11618",2005,"7080047060","USA"
"S11618_2010",-0.0632731308459292,0.0637789361819241,"S11618",2010,"7080047060","USA"
"S11618_2009",-0.0106320957866803,0.081865126729453,"S11618",2009,"7080047060","USA"
"S11618_2011",0.0221686190062795,0.0634478358617803,"S11618",2011,"7080047060","USA"
"S11618_2013",-0.163404450282827,0.0584866934659631,"S11618",2013,"7080047060","USA"
"S11618_2007",-0.0911101296230244,0.0657438311972346,"S11618",2007,"7080047060","USA"
"S11618_2008",-0.0178454170307342,0.0890245462208465,"S11618",2008,"7080047060","USA"
"S11618_2004",-0.180434703285401,0.078418013113798,"S11618",2004,"7080047060","USA"
"S11618_2006",-0.058529075672532,0.117331133919832,"S11618",2006,"7080047060","USA"
"S11618_2012",-0.127031152659494,0.0437433211302597,"S11618",2012,"7080047060","USA"
"S1173_2007",0.270762050358247,-0.0568367742527345,"S1173",2007,"2080033020","SWE"
"S1173_2011",0.258189560210297,-0.0532441079820441,"S1173",2011,"2080033020","SWE"
"S1173_2004",0.192281717388756,-0.0239131840196883,"S1173",2004,"2080033020","SWE"
"S1173_2005",0.252276134532344,-0.0500055042561666,"S1173",2005,"2080033020","SWE"
"S1173_2009",0.208860255209954,-0.046606723408823,"S1173",2009,"2080033020","SWE"
"S1173_2010",0.264646710818226,-0.0531937231693272,"S1173",2010,"2080033020","SWE"
"S1173_2012",0.250044880946232,-0.0257087243493024,"S1173",2012,"2080033020","SWE"
"S1173_2013",0.168617207722308,-0.0162848731896805,"S1173",2013,"2080033020","SWE"
"S1173_2006",0.0158673735238484,-0.010926432589614,"S1173",2006,"2080033020","SWE"
"S1173_2008",0.132407991593571,-0.0212891432242699,"S1173",2008,"2080033020","SWE"
"S1177_2004",0.144972597728822,-0.0620295052956128,"S1177",2004,"2080033080","SWE"
"S1177_2005",0.140831362952574,-0.0662465062501921,"S1177",2005,"2080033080","SWE"
"S1177_2006",0.135993999089404,-0.0642842242418813,"S1177",2006,"2080033080","SWE"
"S1177_2007",0.143579219378853,-0.0641661726320456,"S1177",2007,"2080033080","SWE"
"S1177_2008",0.14194579071016,-0.0666996492444075,"S1177",2008,"2080033080","SWE"
"S1177_2009",0.14194579071016,-0.0666996492444075,"S1177",2009,"2080033080","SWE"
"S1177_2010",0.139706272428086,-0.0657885391361032,"S1177",2010,"2080033080","SWE"
"S1177_2012",0.14194579071016,-0.0666996492444075,"S1177",2012,"2080033080","SWE"
"S1177_2013",0.14194579071016,-0.0666996492444075,"S1177",2013,"2080033080","SWE"
"S11784_2005",-0.142352174326332,0.031606750649797,"S11784",2005,"7080047060","USA"
"S11784_2011",-0.0735010893243583,0.0618845209895024,"S11784",2011,"7080047060","USA"
"S11784_2010",-0.0358867380338805,0.0677437378716702,"S11784",2010,"7080047060","USA"
"S11784_2013",-0.117145615116682,0.0346972390249969,"S11784",2013,"7080047060","USA"
"S11784_2004",-0.167353806901426,0.0138745159153897,"S11784",2004,"7080047060","USA"
"S11784_2006",-0.0715923809794263,0.0843387921770164,"S11784",2006,"7080047060","USA"
"S11784_2007",-0.0221082788835074,0.136778757313704,"S11784",2007,"7080047060","USA"
"S11784_2008",-0.0356225154848618,0.106437392960247,"S11784",2008,"7080047060","USA"
"S11784_2009",-0.0796284741331147,0.0443360870207584,"S11784",2009,"7080047060","USA"
"S11784_2012",-0.141867395683453,0.0397383351727239,"S11784",2012,"7080047060","USA"
"S11804_2004",0.0920675656667286,0.107550353060067,"S11804",2004,"7080047060","USA"
"S11804_2005",-0.290501925989437,-0.0234489122663718,"S11804",2005,"7080047060","USA"
"S11804_2006",-0.279918047797495,-0.0221776827514538,"S11804",2006,"7080047060","USA"
"S11804_2007",-0.160051880002943,0.00703775250456924,"S11804",2007,"7080047060","USA"
"S11804_2008",-0.143708773831033,-0.011680968413101,"S11804",2008,"7080047060","USA"
"S11804_2009",-0.288565106873124,-0.0126512331524207,"S11804",2009,"7080047060","USA"
"S11804_2010",-0.254953357663046,-0.0199001085804397,"S11804",2010,"7080047060","USA"
"S11804_2011",-0.292216444464779,-0.0138482913811324,"S11804",2011,"7080047060","USA"
"S11804_2012",-0.278546309069872,-0.0159250122842024,"S11804",2012,"7080047060","USA"
"S11816_2006",-0.143736346291405,0.0130116093164085,"S11816",2006,"7080047060","USA"
"S11816_2007",-0.0336381505918385,0.0587091401266005,"S11816",2007,"7080047060","USA"
"S11816_2008",-0.0386547134178566,0.0448056102906918,"S11816",2008,"7080047060","USA"
"S11816_2010",-0.0534585378305335,0.0486121888039671,"S11816",2010,"7080047060","USA"
"S11816_2013",-0.0359684188237462,0.0604065396354347,"S11816",2013,"7080047060","USA"
"S11816_2005",0.00184477127742914,0.0663988693451252,"S11816",2005,"7080047060","USA"
"S11816_2009",-0.00503904761548886,0.0618685300682817,"S11816",2009,"7080047060","USA"
"S11816_2012",-0.0669907936827284,0.0521304119310914,"S11816",2012,"7080047060","USA"
"S11816_2004",-0.0863898051738488,0.0540753100064999,"S11816",2004,"7080047060","USA"
"S11816_2011",-0.00739477696274912,0.0506240519826691,"S11816",2011,"7080047060","USA"
"S11830_2010",-0.184943304051943,0.00226750801781311,"S11830",2010,"7080047060","USA"
"S11830_2013",-0.195666510394224,0.000882098929152503,"S11830",2013,"7080047060","USA"
"S11830_2012",-0.112708917873458,0.0340055785078448,"S11830",2012,"7080047060","USA"
"S11830_2004",-0.189402412112953,0.00363881589581091,"S11830",2004,"7080047060","USA"
"S11830_2005",-0.131207914765677,0.0283228041752271,"S11830",2005,"7080047060","USA"
"S11830_2006",-0.0963902041281732,0.0702161459990035,"S11830",2006,"7080047060","USA"
"S11830_2007",-0.0418069024301202,0.132095131151223,"S11830",2007,"7080047060","USA"
"S11830_2008",-0.0788494408656824,0.068044724588882,"S11830",2008,"7080047060","USA"
"S11830_2009",-0.176822098553145,0.00189865388651886,"S11830",2009,"7080047060","USA"
"S11830_2011",-0.098879897904084,0.0403941254444129,"S11830",2011,"7080047060","USA"
"S11849_2005",-0.0764633939193329,0.0527719331530535,"S11849",2005,"7080047060","USA"
"S11849_2006",-0.00850716895079629,0.163258938984524,"S11849",2006,"7080047060","USA"
"S11849_2008",-0.0303580246793454,0.072553135091091,"S11849",2008,"7080047060","USA"
"S11849_2009",-0.0374966975699034,0.0405107762690757,"S11849",2009,"7080047060","USA"
"S11849_2011",0.0395726893714502,0.0703036900704717,"S11849",2011,"7080047060","USA"
"S11849_2012",-0.0304940501854128,0.0567076864912111,"S11849",2012,"7080047060","USA"
"S11849_2013",-0.0138835878393657,0.0768556783189423,"S11849",2013,"7080047060","USA"
"S11849_2004",-0.151025380470137,0.060264143478865,"S11849",2004,"7080047060","USA"
"S11849_2007",0.0403835163558389,0.0790646933819634,"S11849",2007,"7080047060","USA"
"S11849_2010",0.0460099997122037,0.0709729787347811,"S11849",2010,"7080047060","USA"
"S11872_2004",-0.19073366407725,0.0172056438139231,"S11872",2004,"7080047060","USA"
"S11872_2006",-0.155995831274977,0.0308587533602481,"S11872",2006,"7080047060","USA"
"S11872_2007",-0.0617968141712849,0.0927704686250277,"S11872",2007,"7080047060","USA"
"S11872_2011",-0.111758592362645,0.0513636518254943,"S11872",2011,"7080047060","USA"
"S11872_2013",-0.155165750084888,0.018002982442412,"S11872",2013,"7080047060","USA"
"S11872_2012",-0.0377657807401652,0.0425611596568271,"S11872",2012,"7080047060","USA"
"S11872_2005",-0.0797462771246839,0.0641355243813235,"S11872",2005,"7080047060","USA"
"S11872_2009",-0.105074275534562,0.0280473133878916,"S11872",2009,"7080047060","USA"
"S11872_2010",-0.0600480456899534,0.0550580676347404,"S11872",2010,"7080047060","USA"
"S11872_2008",-0.090368481739202,0.0507409468996343,"S11872",2008,"7080047060","USA"
"S11887_2005",-0.130740704735776,-0.0828205347200675,"S11887",2005,"2080029400","FIN"
"S11887_2007",-0.202550777297387,-0.0528858281605654,"S11887",2007,"2080029400","FIN"
"S11887_2008",-0.208120572751488,-0.0968512929487598,"S11887",2008,"2080029400","FIN"
"S11887_2009",-0.0795477782020538,-0.0577844824406031,"S11887",2009,"2080029400","FIN"
"S11887_2010",-0.0957408825541284,-0.027100407299983,"S11887",2010,"2080029400","FIN"
"S11887_2011",-0.0748045167998042,-0.0156167851403674,"S11887",2011,"2080029400","FIN"
"S11887_2012",-0.146312892896821,-0.0443439040890358,"S11887",2012,"2080029400","FIN"
"S11887_2013",-0.103189366962495,-0.0771737464972148,"S11887",2013,"2080029400","FIN"
"S1191_2011",0.068712951850265,-0.0188024480857117,"S1191",2011,"2080033020","SWE"
"S1191_2004",0.0164982950472779,-0.0175385834666707,"S1191",2004,"2080033020","SWE"
"S1191_2005",0.128241275927278,-0.0463845797727108,"S1191",2005,"2080033020","SWE"
"S1191_2006",-0.0133806965268813,-0.0243631559315828,"S1191",2006,"2080033020","SWE"
"S1191_2008",0.13265663180942,-0.0590976157761909,"S1191",2008,"2080033020","SWE"
"S1191_2012",0.107253002273233,-0.0556120184243745,"S1191",2012,"2080033020","SWE"
"S1191_2009",0.0608955330985483,-0.0413343652284958,"S1191",2009,"2080033020","SWE"
"S1191_2010",0.14194579071016,-0.0666996492444075,"S1191",2010,"2080033020","SWE"
"S1191_2013",0.0141131446162768,-0.00372312720633988,"S1191",2013,"2080033020","SWE"
"S11924_2005",0.00367049424577167,-0.0730254895188979,"S11924",2005,"2080029400","FIN"
"S11924_2006",0.0131041083485937,-0.068555945871485,"S11924",2006,"2080029400","FIN"
"S11924_2007",-0.0599514382584875,-0.0379161459368084,"S11924",2007,"2080029400","FIN"
"S11924_2008",0.0992980312264194,-0.0794725317621436,"S11924",2008,"2080029400","FIN"
"S11924_2009",0.0715108150298551,-0.0854338940358138,"S11924",2009,"2080029400","FIN"
"S11924_2010",0.0652090441066204,-0.0804765684287874,"S11924",2010,"2080029400","FIN"
"S11924_2011",0.0702711942942165,-0.0532122237425831,"S11924",2011,"2080029400","FIN"
"S11924_2012",0.0924236806454982,-0.0619767408365768,"S11924",2012,"2080029400","FIN"
"S11924_2013",0.126325533792322,-0.0717953561351064,"S11924",2013,"2080029400","FIN"
"S11928_2005",-0.13352184092245,-0.0282395399868388,"S11928",2005,"2080029400","FIN"
"S11928_2006",-0.0237052283530876,-0.0290773730075387,"S11928",2006,"2080029400","FIN"
"S11928_2007",-0.178643144595457,-0.00506999001576691,"S11928",2007,"2080029400","FIN"
"S11928_2008",-0.146575920762826,0.017765963307405,"S11928",2008,"2080029400","FIN"
"S11928_2009",-0.0083695590698924,-0.0218954297546093,"S11928",2009,"2080029400","FIN"
"S11928_2010",-0.0512814605242132,-0.0343802225738566,"S11928",2010,"2080029400","FIN"
"S11928_2011",-0.0717903560057354,-0.0181219214345424,"S11928",2011,"2080029400","FIN"
"S11928_2012",-0.128351366893329,-0.0125341790357893,"S11928",2012,"2080029400","FIN"
"S11928_2013",-0.0320469914910277,-0.0408986442934222,"S11928",2013,"2080029400","FIN"
"S1193_2005",0.14194579071016,-0.0666996492444075,"S1193",2005,"2080033080","SWE"
"S1193_2006",0.14194579071016,-0.0666996492444075,"S1193",2006,"2080033080","SWE"
"S1193_2007",0.14194579071016,-0.0666996492444075,"S1193",2007,"2080033080","SWE"
"S1193_2008",0.147184834663143,-0.0586858117406467,"S1193",2008,"2080033080","SWE"
"S1193_2009",0.123221806482375,-0.0606247947280912,"S1193",2009,"2080033080","SWE"
"S1193_2010",0.153448877974821,-0.0479348164183459,"S1193",2010,"2080033080","SWE"
"S1193_2011",0.139208602178267,-0.0572614329500707,"S1193",2011,"2080033080","SWE"
"S1193_2012",0.145493906883522,-0.0612379601663233,"S1193",2012,"2080033080","SWE"
"S1193_2013",0.149742812036065,-0.0514438322802568,"S1193",2013,"2080033080","SWE"
"S11988_2004",-0.125942482680493,-0.0161046822400899,"S11988",2004,"7080047060","USA"
"S11988_2005",-0.201915431935752,-0.00293673538535473,"S11988",2005,"7080047060","USA"
"S11988_2006",-0.189947864299936,-0.00794952931203052,"S11988",2006,"7080047060","USA"
"S11988_2007",-0.201612572673538,-0.00896699172533072,"S11988",2007,"7080047060","USA"
"S11988_2008",-0.183027978306696,-0.0111491270521807,"S11988",2008,"7080047060","USA"
"S11988_2009",-0.169711179732223,-0.00462240862700753,"S11988",2009,"7080047060","USA"
"S11988_2010",-0.221069643969543,-0.00988006725521881,"S11988",2010,"7080047060","USA"
"S11988_2011",-0.191555414047537,-0.0033267141075211,"S11988",2011,"7080047060","USA"
"S11988_2012",-0.229675388843252,-0.0108125402031859,"S11988",2012,"7080047060","USA"
"S1199_2007",0.0101019725809596,0.11142515691376,"S1199",2007,"2080053790","GBR"
"S1199_2006",0.0782687680896994,0.154299955788508,"S1199",2006,"2080053790","GBR"
"S1199_2011",0.0490827987700594,0.128743116789885,"S1199",2011,"2080053790","GBR"
"S1199_2012",0.00123084603186027,0.108654661620258,"S1199",2012,"2080053790","GBR"
"S1199_2005",0.0644841838943891,0.132422595856754,"S1199",2005,"2080053790","GBR"
"S1199_2004",0.0156223535303636,0.117029282631059,"S1199",2004,"2080053790","GBR"
"S1199_2008",-0.0603883049754612,0.0771267106441258,"S1199",2008,"2080053790","GBR"
"S1199_2009",-0.0703378019912406,0.0788036411982621,"S1199",2009,"2080053790","GBR"
"S1199_2010",0.049571968572216,0.125908789793912,"S1199",2010,"2080053790","GBR"
"S1208_2007",0.14194579071016,-0.0666996492444075,"S1208",2007,"2080033020","SWE"
"S1208_2011",0.148319472671161,-0.0450933449186598,"S1208",2011,"2080033020","SWE"
"S1208_2004",0.155150159039158,-0.040336487077395,"S1208",2004,"2080033020","SWE"
"S1208_2005",0.146902728319596,-0.0584312391738179,"S1208",2005,"2080033020","SWE"
"S1208_2009",0.148169294361705,-0.0571910183638886,"S1208",2009,"2080033020","SWE"
"S1208_2010",0.143769970388306,-0.0631233418990605,"S1208",2010,"2080033020","SWE"
"S1208_2012",0.14194579071016,-0.0666996492444075,"S1208",2012,"2080033020","SWE"
"S1208_2013",0.149394917940924,-0.0547470152016175,"S1208",2013,"2080033020","SWE"
"S1208_2006",0.156831120096052,-0.0436768168049479,"S1208",2006,"2080033020","SWE"
"S1209_2005",0.178042367455468,-0.00486834229710049,"S1209",2005,"2080033090","SWE"
"S1209_2004",0.177679202100988,-0.00560222749797944,"S1209",2004,"2080033090","SWE"
"S1209_2006",-0.00203165832608439,0.0235719950250142,"S1209",2006,"2080033090","SWE"
"S1209_2007",0.0549484323018595,0.0302878232062183,"S1209",2007,"2080033090","SWE"
"S1209_2010",0.168308499392284,0.0223060355227321,"S1209",2010,"2080033090","SWE"
"S1209_2011",0.181350993296419,0.171443620022256,"S1209",2011,"2080033090","SWE"
"S1209_2009",0.173357230790523,-0.0127172058640826,"S1209",2009,"2080033090","SWE"
"S1209_2013",0.228576101705476,0.146887074055487,"S1209",2013,"2080033090","SWE"
"S1213_2011",0.124983828756997,-0.0611777151489247,"S1213",2011,"2080033020","SWE"
"S1213_2004",0.171627978141042,-0.0174425167967622,"S1213",2004,"2080033020","SWE"
"S1213_2005",0.133695475043262,-0.0553030352614911,"S1213",2005,"2080033020","SWE"
"S1213_2006",0.121105314290691,-0.0445247426214137,"S1213",2006,"2080033020","SWE"
"S1213_2007",0.124952477465045,-0.0611678067495266,"S1213",2007,"2080033020","SWE"
"S1213_2008",0.110966070959396,-0.0434556869530124,"S1213",2008,"2080033020","SWE"
"S1213_2012",0.0876474169953046,-0.0437392130275016,"S1213",2012,"2080033020","SWE"
"S1213_2009",0.0815964015786761,-0.047658580046438,"S1213",2009,"2080033020","SWE"
"S1213_2010",0.17459415013464,-0.0116933341386147,"S1213",2010,"2080033020","SWE"
"S1213_2013",0.0594260940952536,-0.0332126932380498,"S1213",2013,"2080033020","SWE"
"S1215_2011",-0.0534124437646305,-0.0107246671639999,"S1215",2011,"2080033020","SWE"
"S1215_2004",0.0642414802113472,-0.0143101396365933,"S1215",2004,"2080033020","SWE"
"S1215_2005",0.0410068227157354,-0.03125857756284,"S1215",2005,"2080033020","SWE"
"S1215_2006",0.00365473960363152,-0.0236798744033314,"S1215",2006,"2080033020","SWE"
"S1215_2007",0.00728927285540983,-0.0205973822547783,"S1215",2007,"2080033020","SWE"
"S1215_2008",-0.0446792965386825,-0.00126223357699897,"S1215",2008,"2080033020","SWE"
"S1215_2012",-0.0770112823408201,0.00245118035978813,"S1215",2012,"2080033020","SWE"
"S1215_2009",0.017735085069123,-0.0125918775174705,"S1215",2009,"2080033020","SWE"
"S1215_2010",-0.0140237063427759,-0.0242530657639529,"S1215",2010,"2080033020","SWE"
"S1215_2013",-0.0204609640163887,-0.0133741483994073,"S1215",2013,"2080033020","SWE"
"S12211_2005",-0.15485020811875,-0.0686281940229869,"S12211",2005,"2080029400","FIN"
"S12211_2006",-0.0780212352638199,-0.05313179853132,"S12211",2006,"2080029400","FIN"
"S12211_2007",-0.0106209675252386,-0.0626374391517062,"S12211",2007,"2080029400","FIN"
"S12211_2008",-0.038407072856482,-0.0383011476597013,"S12211",2008,"2080029400","FIN"
"S12211_2009",0.0507520120700166,-0.0623096102651953,"S12211",2009,"2080029400","FIN"
"S12211_2010",0.0167103705947146,-0.0696981519118191,"S12211",2010,"2080029400","FIN"
"S12211_2011",0.0368712867416675,-0.0539153877392856,"S12211",2011,"2080029400","FIN"
"S12211_2012",0.10259090937695,-0.0706587563048306,"S12211",2012,"2080029400","FIN"
"S12211_2013",-0.0471612323878123,-0.0788422158842327,"S12211",2013,"2080029400","FIN"
"S12290_2005",-0.041438972279649,-0.0894887490851085,"S12290",2005,"2080029400","FIN"
"S12290_2006",-0.038307453649025,-0.0832178976077262,"S12290",2006,"2080029400","FIN"
"S12290_2007",-0.0490992081637397,-0.0717925838645503,"S12290",2007,"2080029400","FIN"
"S12290_2008",0.042488200322201,-0.0751823829220111,"S12290",2008,"2080029400","FIN"
"S12290_2009",0.010991156520445,-0.0715075158434545,"S12290",2009,"2080029400","FIN"
"S12290_2010",-0.0149959424667501,-0.0693221001591298,"S12290",2010,"2080029400","FIN"
"S12290_2011",0.0815043041869371,-0.0656628425725713,"S12290",2011,"2080029400","FIN"
"S12290_2012",0.110363507594879,-0.0627692350583599,"S12290",2012,"2080029400","FIN"
"S12290_2013",0.0399949624255799,-0.0717792024067206,"S12290",2013,"2080029400","FIN"
"S12298_2005",-0.0881203366108081,-0.0804871286083527,"S12298",2005,"2080029400","FIN"
"S12298_2006",-0.0428587385642449,-0.0330601405864373,"S12298",2006,"2080029400","FIN"
"S12298_2007",-0.142306392116144,-0.0725733176654792,"S12298",2007,"2080029400","FIN"
"S12298_2008",-0.0568917205265885,-0.0479333815481367,"S12298",2008,"2080029400","FIN"
"S12298_2009",-0.100823925742827,-0.0311005561075668,"S12298",2009,"2080029400","FIN"
"S12298_2010",-0.143670362151413,-0.0504500353656359,"S12298",2010,"2080029400","FIN"
"S12298_2011",-0.146089451464711,-0.0245341119271442,"S12298",2011,"2080029400","FIN"
"S12298_2012",-0.104159645666834,-0.0280316784090055,"S12298",2012,"2080029400","FIN"
"S12298_2013",-0.117181343157536,0.0118300027713222,"S12298",2013,"2080029400","FIN"
"S12306_2005",-0.0928065358180825,-0.0393925259433172,"S12306",2005,"2080029400","FIN"
"S12306_2006",-0.0558208644155437,0.00911869361271107,"S12306",2006,"2080029400","FIN"
"S12306_2007",-0.0997248009090142,0.0122816331170032,"S12306",2007,"2080029400","FIN"
"S12306_2008",-0.00330137753399268,-0.0351779536530733,"S12306",2008,"2080029400","FIN"
"S12306_2009",-0.0232846140768953,-0.0216731394809519,"S12306",2009,"2080029400","FIN"
"S12306_2010",0.0389820676074697,-0.0414709886880778,"S12306",2010,"2080029400","FIN"
"S12306_2011",-0.0665866742300679,0.0146698859699934,"S12306",2011,"2080029400","FIN"
"S12306_2012",0.011545160995272,-0.0442020393100035,"S12306",2012,"2080029400","FIN"
"S12306_2013",-0.0836587519406916,0.0321116237722501,"S12306",2013,"2080029400","FIN"
"S12317_2005",-0.142219704076926,-0.0454273495823644,"S12317",2005,"2080029400","FIN"
"S12317_2006",0.0154681201958975,-0.0567209330706587,"S12317",2006,"2080029400","FIN"
"S12317_2007",-0.0388109837438911,-0.0395053390118032,"S12317",2007,"2080029400","FIN"
"S12317_2008",0.00508557863112356,-0.0502800081704339,"S12317",2008,"2080029400","FIN"
"S12317_2009",-0.0377425536119978,-0.0668717822843324,"S12317",2009,"2080029400","FIN"
"S12317_2010",-0.0106579578577872,-0.058746491960847,"S12317",2010,"2080029400","FIN"
"S12317_2011",-0.0529578213643352,-0.0402587515830418,"S12317",2011,"2080029400","FIN"
"S12317_2012",0.0474716832511611,-0.0576851326828069,"S12317",2012,"2080029400","FIN"
"S12317_2013",-0.0710695228887462,-0.077503742234996,"S12317",2013,"2080029400","FIN"
"S1236_2006",-0.166085994241515,0.0489800271279869,"S1236",2006,"2080053790","GBR"
"S1236_2007",-0.000377672815179847,0.114189621212958,"S1236",2007,"2080053790","GBR"
"S1236_2009",0.00597354400034819,0.0869561214344082,"S1236",2009,"2080053790","GBR"
"S1236_2004",0.0148781872094767,0.0902402279605784,"S1236",2004,"2080053790","GBR"
"S1236_2005",-0.00846819806679629,0.0781047122788522,"S1236",2005,"2080053790","GBR"
"S1236_2012",0.0270631391060701,0.100332995908522,"S1236",2012,"2080053790","GBR"
"S1236_2008",0.00829481774424085,0.0983830159509737,"S1236",2008,"2080053790","GBR"
"S1236_2010",0.0249166717469794,0.0620872367590916,"S1236",2010,"2080053790","GBR"
"S1242_2004",0.151332820176275,-0.0652566399425276,"S1242",2004,"2080033080","SWE"
"S1242_2006",0.18958071043263,-0.0635300642632309,"S1242",2006,"2080033080","SWE"
"S1242_2007",0.207906352623079,-0.0637414087181774,"S1242",2007,"2080033080","SWE"
"S1242_2008",0.186467774034925,-0.0606043508074817,"S1242",2008,"2080033080","SWE"
"S1242_2009",0.158361286010842,-0.0607001410387108,"S1242",2009,"2080033080","SWE"
"S1242_2010",0.144222503005523,-0.0631766225844259,"S1242",2010,"2080033080","SWE"
"S1242_2011",0.148800291737737,-0.0638246990202853,"S1242",2011,"2080033080","SWE"
"S1242_2012",0.14941056040074,-0.0655215955954135,"S1242",2012,"2080033080","SWE"
"S1242_2013",0.14194579071016,-0.0666996492444075,"S1242",2013,"2080033080","SWE"
"S1242_2005",0.160510126708278,-0.0641750704055567,"S1242",2005,"2080033080","SWE"
"S1245_2005",0.0434279559491325,0.0917297553501892,"S1245",2005,"2080017150","ESP"
