"","Country","Axis","Correlation","BasinID1","BasinID2"
"X2080032600.2080030420","SWE","Axis1","0.384969828635814","2080032600","2080030420"
"X2080032670.2080030420","SWE","Axis1","0.177842853173892","2080032670","2080030420"
"X2080032980.2080030420","SWE","Axis1","-0.047679573109486","2080032980","2080030420"
"X2080033010.2080030420","SWE","Axis1","0.215861511255463","2080033010","2080030420"
"X2080033020.2080030420","SWE","Axis1","-0.300462808892205","2080033020","2080030420"
"X2080033080.2080030420","SWE","Axis1","-0.128992645108537","2080033080","2080030420"
"X2080033090.2080030420","SWE","Axis1","-0.286835907633102","2080033090","2080030420"
"X2080033120.2080030420","SWE","Axis1","-0.185188030981523","2080033120","2080030420"
"X2080033190.2080030420","SWE","Axis1","0.00728298927808209","2080033190","2080030420"
"X2080033320.2080030420","SWE","Axis1","-0.144024935134686","2080033320","2080030420"
"X2080030560.2080030460","SWE","Axis1","-0.171004518175","2080030560","2080030460"
"X2080030610.2080030460","SWE","Axis1","0.170701884521342","2080030610","2080030460"
"X2080030630.2080030460","SWE","Axis1","-0.332693140065652","2080030630","2080030460"
"X2080030660.2080030460","SWE","Axis1","-0.176483164529518","2080030660","2080030460"
"X2080030710.2080030460","SWE","Axis1","-0.118975221143046","2080030710","2080030460"
"X2080030760.2080030460","SWE","Axis1","0.133289932935857","2080030760","2080030460"
"X2080031060.2080030460","SWE","Axis1","-0.193133440170685","2080031060","2080030460"
"X2080031740.2080030460","SWE","Axis1","0.0593247054031756","2080031740","2080030460"
"X2080031750.2080030460","SWE","Axis1","0.103169705992701","2080031750","2080030460"
"X2080031960.2080030460","SWE","Axis1","-0.156837088942324","2080031960","2080030460"
"X2080032230.2080030460","SWE","Axis1","-0.0689630005678505","2080032230","2080030460"
"X2080032600.2080030460","SWE","Axis1","0.253170932327246","2080032600","2080030460"
"X2080032670.2080030460","SWE","Axis1","-0.246687663166769","2080032670","2080030460"
"X2080032980.2080030460","SWE","Axis1","-0.37003922621448","2080032980","2080030460"
"X2080033010.2080030460","SWE","Axis1","0.0498608642463716","2080033010","2080030460"
"X2080033020.2080030460","SWE","Axis1","-0.00731023946594252","2080033020","2080030460"
"X2080033080.2080030460","SWE","Axis1","0.335728804165065","2080033080","2080030460"
"X2080033090.2080030460","SWE","Axis1","-0.501355954536788","2080033090","2080030460"
"X2080033120.2080030460","SWE","Axis1","-0.08781283448336","2080033120","2080030460"
"X2080033190.2080030460","SWE","Axis1","0.0633687899102257","2080033190","2080030460"
"X2080033320.2080030460","SWE","Axis1","0.4374947048772","2080033320","2080030460"
"X2080030610.2080030560","SWE","Axis1","0.0326812214983129","2080030610","2080030560"
"X2080030630.2080030560","SWE","Axis1","0.622581256378261","2080030630","2080030560"
"X2080030660.2080030560","SWE","Axis1","0.189663215383223","2080030660","2080030560"
"X2080030710.2080030560","SWE","Axis1","-0.305787243097525","2080030710","2080030560"
"X2080030760.2080030560","SWE","Axis1","-0.403561191092874","2080030760","2080030560"
"X2080031060.2080030560","SWE","Axis1","-0.0538534192737985","2080031060","2080030560"
"X2080031740.2080030560","SWE","Axis1","0.0905452167195105","2080031740","2080030560"
"X2080031750.2080030560","SWE","Axis1","0.593694588780749","2080031750","2080030560"
"X2080031960.2080030560","SWE","Axis1","0.0887667152952779","2080031960","2080030560"
"X2080032230.2080030560","SWE","Axis1","0.0904398557271236","2080032230","2080030560"
"X2080032600.2080030560","SWE","Axis1","0.0659559027936271","2080032600","2080030560"
"X2080032670.2080030560","SWE","Axis1","-0.351112744626838","2080032670","2080030560"
"X2080032980.2080030560","SWE","Axis1","-0.183451565632033","2080032980","2080030560"
"X2080033010.2080030560","SWE","Axis1","0.103361260637393","2080033010","2080030560"
"X2080033020.2080030560","SWE","Axis1","-0.333917797247222","2080033020","2080030560"
"X2080033080.2080030560","SWE","Axis1","-0.118643424593237","2080033080","2080030560"
"X2080033090.2080030560","SWE","Axis1","0.192197484086673","2080033090","2080030560"
"X2080033120.2080030560","SWE","Axis1","-0.722696884464417","2080033120","2080030560"
"X2080033190.2080030560","SWE","Axis1","-0.606732962903091","2080033190","2080030560"
"X2080033320.2080030560","SWE","Axis1","-0.501641522610066","2080033320","2080030560"
"X2080030630.2080030610","SWE","Axis1","0.163165891089924","2080030630","2080030610"
"X2080030660.2080030610","SWE","Axis1","0.557206747521825","2080030660","2080030610"
"X2080030710.2080030610","SWE","Axis1","0.348045827295637","2080030710","2080030610"
"X2080030760.2080030610","SWE","Axis1","0.577461673028718","2080030760","2080030610"
"X2080031060.2080030610","SWE","Axis1","0.225017033516807","2080031060","2080030610"
"X2080031740.2080030610","SWE","Axis1","0.434725762337031","2080031740","2080030610"
"X2080031750.2080030610","SWE","Axis1","0.503266150922835","2080031750","2080030610"
"X2080031960.2080030610","SWE","Axis1","-0.0370077493366856","2080031960","2080030610"
"X2080032230.2080030610","SWE","Axis1","-0.318272124429754","2080032230","2080030610"
"X2080032600.2080030610","SWE","Axis1","0.511372522149601","2080032600","2080030610"
"X2080032670.2080030610","SWE","Axis1","0.292878243384858","2080032670","2080030610"
"X2080032980.2080030610","SWE","Axis1","0.0263007942009322","2080032980","2080030610"
"X2080033010.2080030610","SWE","Axis1","-0.0397585397744107","2080033010","2080030610"
"X2080033020.2080030610","SWE","Axis1","-0.110450344810441","2080033020","2080030610"
"X2080033080.2080030610","SWE","Axis1","-0.500265062507871","2080033080","2080030610"
"X2080033090.2080030610","SWE","Axis1","-0.332399286240855","2080033090","2080030610"
"X2080033120.2080030610","SWE","Axis1","0.203772933312036","2080033120","2080030610"
"X2080033190.2080030610","SWE","Axis1","0.0431980860924305","2080033190","2080030610"
"X2080033320.2080030610","SWE","Axis1","-0.0663342736825025","2080033320","2080030610"
"X2080030660.2080030630","SWE","Axis1","0.0633697777475271","2080030660","2080030630"
"X2080030710.2080030630","SWE","Axis1","-0.168966110192257","2080030710","2080030630"
"X2080030760.2080030630","SWE","Axis1","-0.299537397534945","2080030760","2080030630"
"X2080031060.2080030630","SWE","Axis1","0.376117529489034","2080031060","2080030630"
"X2080031740.2080030630","SWE","Axis1","0.523776504173954","2080031740","2080030630"
"X2080031750.2080030630","SWE","Axis1","0.549705361927561","2080031750","2080030630"
"X2080031960.2080030630","SWE","Axis1","0.0199534509010327","2080031960","2080030630"
