"","Axis","Correlation","BasinID1","BasinID2"
"X5080070440.2080020330","Axis1","0.46879296857703","5080070440","2080020330"
"X7080047060.2080020330","Axis1","-0.3806154979508","7080047060","2080020330"
"X7080049270.2080020330","Axis1","-0.14750307854481","7080049270","2080020330"
"X2080021030.2080020590","Axis1","-0.380545793819692","2080021030","2080020590"
"X2080022150.2080020590","Axis1","0.757142968754635","2080022150","2080020590"
"X2080023010.2080020590","Axis1","-0.266710144717644","2080023010","2080020590"
"X2080029400.2080020590","Axis1","0.18772483053445","2080029400","2080020590"
"X2080030100.2080020590","Axis1","0.117442240128668","2080030100","2080020590"
"X2080030160.2080020590","Axis1","0.0966579429885072","2080030160","2080020590"
"X2080030220.2080020590","Axis1","-0.0666615339010748","2080030220","2080020590"
"X2080030370.2080020590","Axis1","-0.21608481015097","2080030370","2080020590"
"X2080030420.2080020590","Axis1","-0.145388043743768","2080030420","2080020590"
"X2080030460.2080020590","Axis1","-0.470115682889124","2080030460","2080020590"
"X2080030560.2080020590","Axis1","0.2303425523303","2080030560","2080020590"
"X2080030610.2080020590","Axis1","-0.205732199539032","2080030610","2080020590"
"X2080030630.2080020590","Axis1","0.136193249662259","2080030630","2080020590"
"X2080030660.2080020590","Axis1","-0.532814666777725","2080030660","2080020590"
"X2080030710.2080020590","Axis1","-0.489254345887041","2080030710","2080020590"
"X2080030760.2080020590","Axis1","-0.6193840026501","2080030760","2080020590"
"X2080031060.2080020590","Axis1","-0.106924478315312","2080031060","2080020590"
"X2080031740.2080020590","Axis1","0.293536070151145","2080031740","2080020590"
"X2080031750.2080020590","Axis1","0.00322868190912764","2080031750","2080020590"
"X2080031960.2080020590","Axis1","0.302727731318793","2080031960","2080020590"
"X2080032230.2080020590","Axis1","0.389363967048818","2080032230","2080020590"
"X2080032600.2080020590","Axis1","-0.392301983007874","2080032600","2080020590"
"X2080032670.2080020590","Axis1","0.111064367116386","2080032670","2080020590"
"X2080032980.2080020590","Axis1","0.123139036670235","2080032980","2080020590"
"X2080033010.2080020590","Axis1","0.0890622604698645","2080033010","2080020590"
"X2080033020.2080020590","Axis1","0.21142700096199","2080033020","2080020590"
"X2080033080.2080020590","Axis1","0.441049163035288","2080033080","2080020590"
"X2080033090.2080020590","Axis1","-0.160507229106224","2080033090","2080020590"
"X2080033120.2080020590","Axis1","-0.302197627967897","2080033120","2080020590"
"X2080033190.2080020590","Axis1","-0.469909801722112","2080033190","2080020590"
"X2080033320.2080020590","Axis1","-0.579660400102773","2080033320","2080020590"
"X2080053790.2080020590","Axis1","0.203406436289077","2080053790","2080020590"
"X5080070260.2080020590","Axis1","-0.0285014835929685","5080070260","2080020590"
"X5080070390.2080020590","Axis1","-0.169944795623638","5080070390","2080020590"
"X5080070440.2080020590","Axis1","0.418211473305295","5080070440","2080020590"
"X7080047060.2080020590","Axis1","-0.143306874276771","7080047060","2080020590"
"X7080049270.2080020590","Axis1","0.307359540161043","7080049270","2080020590"
"X2080022150.2080021030","Axis1","-0.308961280324025","2080022150","2080021030"
"X2080023010.2080021030","Axis1","-0.148505745172705","2080023010","2080021030"
"X2080029400.2080021030","Axis1","0.0637571868648729","2080029400","2080021030"
"X2080030100.2080021030","Axis1","-0.0292592247015213","2080030100","2080021030"
"X2080030160.2080021030","Axis1","0.404276421664798","2080030160","2080021030"
"X2080030220.2080021030","Axis1","0.462342625431509","2080030220","2080021030"
"X2080030370.2080021030","Axis1","0.584607119545532","2080030370","2080021030"
"X2080030420.2080021030","Axis1","0.0437074407969083","2080030420","2080021030"
"X2080030460.2080021030","Axis1","-0.209606152498889","2080030460","2080021030"
"X2080030560.2080021030","Axis1","-0.1341172790239","2080030560","2080021030"
"X2080030610.2080021030","Axis1","0.380601512874616","2080030610","2080021030"
"X2080030630.2080021030","Axis1","0.369218755369463","2080030630","2080021030"
"X2080030660.2080021030","Axis1","0.687266088654149","2080030660","2080021030"
"X2080030710.2080021030","Axis1","0.58427511544339","2080030710","2080021030"
"X2080030760.2080021030","Axis1","0.78029352362114","2080030760","2080021030"
"X2080031060.2080021030","Axis1","0.442702860202819","2080031060","2080021030"
"X2080031740.2080021030","Axis1","-0.00857398461223098","2080031740","2080021030"
"X2080031750.2080021030","Axis1","0.00209457628166382","2080031750","2080021030"
"X2080031960.2080021030","Axis1","0.286208618252368","2080031960","2080021030"
"X2080032230.2080021030","Axis1","-0.200319408315174","2080032230","2080021030"
"X2080032600.2080021030","Axis1","0.437965207339336","2080032600","2080021030"
"X2080032670.2080021030","Axis1","0.182309540024265","2080032670","2080021030"
"X2080032980.2080021030","Axis1","0.559520474701933","2080032980","2080021030"
"X2080033010.2080021030","Axis1","-0.34619238767923","2080033010","2080021030"
"X2080033020.2080021030","Axis1","-0.299400134674316","2080033020","2080021030"
"X2080033080.2080021030","Axis1","-0.585029683858944","2080033080","2080021030"
"X2080033090.2080021030","Axis1","-0.0225085540449249","2080033090","2080021030"
"X2080033120.2080021030","Axis1","0.313116370300281","2080033120","2080021030"
"X2080033190.2080021030","Axis1","0.504179208748791","2080033190","2080021030"
"X2080033320.2080021030","Axis1","-0.0407734228939123","2080033320","2080021030"
"X2080053790.2080021030","Axis1","0.587926922152281","2080053790","2080021030"
"X5080070260.2080021030","Axis1","0.409380746904516","5080070260","2080021030"
"X5080070390.2080021030","Axis1","0.543232647701266","5080070390","2080021030"
"X5080070440.2080021030","Axis1","0.0760514455974896","5080070440","2080021030"
"X7080047060.2080021030","Axis1","-0.114596478802032","7080047060","2080021030"
"X7080049270.2080021030","Axis1","-0.673127714488185","7080049270","2080021030"
"X2080023010.2080022150","Axis1","-0.212545632459999","2080023010","2080022150"
"X2080029400.2080022150","Axis1","-0.360925460213444","2080029400","2080022150"
"X2080030100.2080022150","Axis1","0.538924519168292","2080030100","2080022150"
"X2080030160.2080022150","Axis1","0.090374185211798","2080030160","2080022150"
"X2080030220.2080022150","Axis1","-0.0535290323388413","2080030220","2080022150"
"X2080030370.2080022150","Axis1","0.117373311540391","2080030370","2080022150"
"X2080030420.2080022150","Axis1","0.15643595126153","2080030420","2080022150"
"X2080030460.2080022150","Axis1","-0.0953705554461889","2080030460","2080022150"
"X2080030560.2080022150","Axis1","0.355581394879668","2080030560","2080022150"
"X2080030610.2080022150","Axis1","0.217164873562366","2080030610","2080022150"
"X2080030630.2080022150","Axis1","0.237323315695183","2080030630","2080022150"
"X2080030660.2080022150","Axis1","-0.379462265865404","2080030660","2080022150"
"X2080030710.2080022150","Axis1","-0.313693168446179","2080030710","2080022150"
"X2080030760.2080022150","Axis1","-0.481710647820216","2080030760","2080022150"
"X2080031060.2080022150","Axis1","-0.0973412937168766","2080031060","2080022150"
"X2080031740.2080022150","Axis1","0.74470113427369","2080031740","2080022150"
"X2080031750.2080022150","Axis1","0.174521259979686","2080031750","2080022150"
"X2080031960.2080022150","Axis1","0.23973016380716","2080031960","2080022150"
"X2080032230.2080022150","Axis1","-0.010051530208787","2080032230","2080022150"
"X2080032600.2080022150","Axis1","-0.438957369167093","2080032600","2080022150"
"X2080032670.2080022150","Axis1","0.384693020013856","2080032670","2080022150"
"X2080032980.2080022150","Axis1","0.260218881981267","2080032980","2080022150"
"X2080033010.2080022150","Axis1","0.196867759798671","2080033010","2080022150"
"X2080033020.2080022150","Axis1","-0.145568737666084","2080033020","2080022150"
"X2080033080.2080022150","Axis1","0.63527240383314","2080033080","2080022150"
"X2080033090.2080022150","Axis1","-0.365959881853261","2080033090","2080022150"
"X2080033120.2080022150","Axis1","-0.394182955530188","2080033120","2080022150"
"X2080033190.2080022150","Axis1","-0.141001333242579","2080033190","2080022150"
"X2080033320.2080022150","Axis1","-0.666370353505271","2080033320","2080022150"
"X2080053790.2080022150","Axis1","0.033391125685253","2080053790","2080022150"
"X5080070260.2080022150","Axis1","0.171327898697871","5080070260","2080022150"
"X5080070390.2080022150","Axis1","-0.110680317309028","5080070390","2080022150"
"X5080070440.2080022150","Axis1","0.239990996670341","5080070440","2080022150"
"X7080047060.2080022150","Axis1","-0.222154373415466","7080047060","2080022150"
"X7080049270.2080022150","Axis1","0.344290780158619","7080049270","2080022150"
"X2080029400.2080023010","Axis1","-0.516061264412728","2080029400","2080023010"
"X2080030100.2080023010","Axis1","0.258315170129544","2080030100","2080023010"
"X2080030160.2080023010","Axis1","-0.538980492491151","2080030160","2080023010"
"X2080030220.2080023010","Axis1","-0.426992408560542","2080030220","2080023010"
"X2080030370.2080023010","Axis1","-0.382327209670631","2080030370","2080023010"
"X2080030420.2080023010","Axis1","0.132299716328623","2080030420","2080023010"
"X2080030460.2080023010","Axis1","0.235472934793163","2080030460","2080023010"
"X2080030560.2080023010","Axis1","0.192285921406157","2080030560","2080023010"
"X2080030610.2080023010","Axis1","0.265316191716792","2080030610","2080023010"
"X2080030630.2080023010","Axis1","-0.185216482326491","2080030630","2080023010"
"X2080030660.2080023010","Axis1","0.396503830624193","2080030660","2080023010"
"X2080030710.2080023010","Axis1","-0.532519942544606","2080030710","2080023010"
"X2080030760.2080023010","Axis1","0.288853019439737","2080030760","2080023010"
"X2080031060.2080023010","Axis1","-0.490650267373937","2080031060","2080023010"
"X2080031740.2080023010","Axis1","-0.354442130350751","2080031740","2080023010"
"X2080031750.2080023010","Axis1","0.730580338626586","2080031750","2080023010"
"X2080031960.2080023010","Axis1","-0.120745135109678","2080031960","2080023010"
"X2080032230.2080023010","Axis1","0.0587639109770173","2080032230","2080023010"
"X2080032600.2080023010","Axis1","0.0355324341580755","2080032600","2080023010"
"X2080032670.2080023010","Axis1","-0.519497087014972","2080032670","2080023010"
"X2080032980.2080023010","Axis1","-0.28062653746356","2080032980","2080023010"
"X2080033010.2080023010","Axis1","0.567398368280442","2080033010","2080023010"
"X2080033020.2080023010","Axis1","0.495256408150762","2080033020","2080023010"
"X2080033080.2080023010","Axis1","-0.0943853746235066","2080033080","2080023010"
"X2080033090.2080023010","Axis1","0.233263880931813","2080033090","2080023010"
"X2080033120.2080023010","Axis1","-0.219260631269366","2080033120","2080023010"
"X2080033190.2080023010","Axis1","0.109215889836968","2080033190","2080023010"
"X2080033320.2080023010","Axis1","-0.0656724320853747","2080033320","2080023010"
"X2080053790.2080023010","Axis1","-0.42060194485642","2080053790","2080023010"
"X5080070260.2080023010","Axis1","-0.590650361132856","5080070260","2080023010"
"X5080070390.2080023010","Axis1","-0.64289312997974","5080070390","2080023010"
"X5080070440.2080023010","Axis1","-0.780342049186053","5080070440","2080023010"
"X7080047060.2080023010","Axis1","0.32234673769021","7080047060","2080023010"
"X7080049270.2080023010","Axis1","0.207167602904508","7080049270","2080023010"
"X2080030100.2080029400","Axis1","-0.516641542821362","2080030100","2080029400"
